t,angulo
1.14E+01,-0.481609401
1.14E+01,-0.495985088
1.14E+01,-0.505739797
1.14E+01,-0.510906552
1.15E+01,-0.51092089
1.15E+01,-0.506145593
1.15E+01,-0.496741683
1.16E+01,-0.48372192
1.16E+01,-0.465799189
1.16E+01,-0.443549488
1.17E+01,-0.415650337
1.17E+01,-0.384368726
1.17E+01,-0.349930933
1.18E+01,-0.312040807
1.18E+01,-0.271256481
1.18E+01,-0.22714011
1.18E+01,-0.181019056
1.19E+01,-0.133613622
1.19E+01,-0.085487132
1.20E+01,-0.035406248
1.20E+01,0.013733363
1.20E+01,0.060757991
1.20E+01,0.107430532
1.21E+01,0.152076841
1.21E+01,0.194689304
1.22E+01,0.233797718
1.22E+01,0.270218577
1.22E+01,0.302504293
1.22E+01,0.331759891
1.23E+01,0.357533849
1.23E+01,0.379419768
1.24E+01,0.397352084
1.24E+01,0.409040891
1.24E+01,0.418288848
1.24E+01,0.423369626
1.25E+01,0.4240075
1.25E+01,0.419417936
1.26E+01,0.410548549
1.26E+01,0.397793625
1.26E+01,0.379688216
1.26E+01,0.357881796
1.27E+01,0.332970005
1.27E+01,0.303793246
1.27E+01,0.271365922
1.28E+01,0.23593653
1.28E+01,0.19665857
1.29E+01,0.155398151
1.29E+01,0.112398116
1.29E+01,0.067925685
1.29E+01,0.022630517
1.30E+01,-0.023992881
1.30E+01,-0.070840929
1.31E+01,-0.117470362
1.31E+01,-0.160758273
1.31E+01,-0.202702817
1.31E+01,-0.243835812
1.32E+01,-0.283552514
1.32E+01,-0.319657833
1.33E+01,-0.352508375
1.33E+01,-0.387541909
1.33E+01,-0.413768344
1.33E+01,-0.437547265
1.34E+01,-0.458584981
1.34E+01,-0.471051354
1.35E+01,-0.481405609
1.35E+01,-0.483521788
1.35E+01,-0.483368885
1.35E+01,-0.482312935
1.36E+01,-0.47213566
1.36E+01,-0.459794106
1.36E+01,-0.446606583
1.37E+01,-0.424191621
1.37E+01,-0.399750863
1.38E+01,-0.37095302
1.38E+01,-0.338002534
1.38E+01,-0.301058102
1.38E+01,-0.260649596
1.39E+01,-0.218267933
1.39E+01,-0.173770326
1.40E+01,-0.127854508
1.40E+01,-0.081482516
1.40E+01,-0.033744664
1.40E+01,0.011620379
1.41E+01,0.05492438
1.41E+01,0.098152679
1.42E+01,0.137773904
1.42E+01,0.177912071
1.42E+01,0.210820885
1.42E+01,0.243584413
1.43E+01,0.272859108
1.43E+01,0.299077386
1.44E+01,0.319159131
1.44E+01,0.339935027
1.44E+01,0.353316247
1.44E+01,0.363252176
1.45E+01,0.371256366
1.45E+01,0.371934939
1.46E+01,0.370666438
1.46E+01,0.362370908
1.46E+01,0.351007943
1.47E+01,0.337120386
1.47E+01,0.3199583
1.47E+01,0.296991629
1.47E+01,0.270624146
1.48E+01,0.240925921
1.48E+01,0.211331627
1.48E+01,0.175736573
1.49E+01,0.137160971
1.49E+01,0.09848187
1.49E+01,0.057980774
1.50E+01,0.015467296
1.50E+01,-0.026506569
1.50E+01,-0.069359176
1.50E+01,-0.111209105
1.51E+01,-0.152675987
1.51E+01,-0.192390125
1.52E+01,-0.231562148
1.52E+01,-0.268631217
1.52E+01,-0.302309783
1.52E+01,-0.333946672
1.53E+01,-0.362407955
1.53E+01,-0.387439402
1.54E+01,-0.409059177
1.54E+01,-0.426432418
1.54E+01,-0.439270436
1.54E+01,-0.448128102
1.55E+01,-0.451423481
1.55E+01,-0.451264968
1.55E+01,-0.449081751
1.56E+01,-0.440713451
1.56E+01,-0.428697552
1.57E+01,-0.411047607
1.57E+01,-0.391346876
1.57E+01,-0.366871156
1.57E+01,-0.339085131
1.58E+01,-0.308680044
1.58E+01,-0.275213252
1.59E+01,-0.239231533
1.59E+01,-0.199511196
1.59E+01,-0.159807287
1.59E+01,-0.11845009
1.60E+01,-0.075610773
1.60E+01,-0.033980893
1.61E+01,0.007027792
1.61E+01,0.048745125
1.61E+01,0.087546099
1.61E+01,0.125058887
1.62E+01,0.160270376
1.62E+01,0.193602505
1.63E+01,0.222694163
1.63E+01,0.249929687
1.63E+01,0.273626932
1.63E+01,0.293590481
1.64E+01,0.309705007
1.64E+01,0.322239159
1.65E+01,0.331312982
1.65E+01,0.3369488
1.65E+01,0.337775435
1.66E+01,0.335865018
1.66E+01,0.329172265
1.66E+01,0.318887418
1.66E+01,0.305176164
1.67E+01,0.287310969
1.67E+01,0.266406213
1.68E+01,0.241631705
1.68E+01,0.214691901
1.68E+01,0.184394437
1.68E+01,0.151879942
1.69E+01,0.116926365
1.69E+01,0.080181351
1.70E+01,0.043639644
1.70E+01,0.004349912
1.70E+01,-0.034815079
1.70E+01,-0.073172765
1.71E+01,-0.111697629
1.71E+01,-0.149116908
1.72E+01,-0.18499086
1.72E+01,-0.219056557
1.72E+01,-0.252214491
1.72E+01,-0.283331031
1.73E+01,-0.311937906
1.73E+01,-0.337953708
1.74E+01,-0.360703003
1.74E+01,-0.380129867
1.74E+01,-0.395590198
1.74E+01,-0.407769373
1.75E+01,-0.416138279
1.75E+01,-0.419960588
1.75E+01,-0.420226872
1.76E+01,-0.416339259
1.76E+01,-0.408639981
1.77E+01,-0.396655838
1.77E+01,-0.381555915
1.77E+01,-0.362793376
1.77E+01,-0.340616005
1.78E+01,-0.315718686
1.78E+01,-0.287846316
1.79E+01,-0.256075751
1.79E+01,-0.222409183
1.79E+01,-0.188661123
1.79E+01,-0.151779624
1.80E+01,-0.114087042
1.80E+01,-0.075824662
1.81E+01,-0.039359756
1.81E+01,-0.001188154
1.81E+01,0.036349506
1.81E+01,0.072675071
1.82E+01,0.104557593
1.82E+01,0.136917979
1.82E+01,0.167122085
1.82E+01,0.19396843
1.83E+01,0.218170743
1.83E+01,0.238206174
1.84E+01,0.256680969
1.84E+01,0.271072164
1.84E+01,0.28198101
1.85E+01,0.28909546
1.85E+01,0.293960404
1.85E+01,0.294169861
1.85E+01,0.291425609
1.86E+01,0.285873492
1.86E+01,0.276958355
1.87E+01,0.2649937
1.87E+01,0.249663801
1.87E+01,0.232583256
1.87E+01,0.213289187
1.88E+01,0.190937291
1.88E+01,0.166120319
1.89E+01,0.139145994
1.89E+01,0.109983955
1.89E+01,0.07953675
1.89E+01,0.047670251
1.90E+01,0.014796215
1.90E+01,-0.019024904
1.91E+01,-0.053605375
1.91E+01,-0.087977023
1.91E+01,-0.121385989
1.91E+01,-0.154325467
1.92E+01,-0.185683688
1.92E+01,-0.216996651
1.93E+01,-0.24548577
1.93E+01,-0.273157662
1.93E+01,-0.297688418
1.93E+01,-0.319646142
1.94E+01,-0.337713695
1.94E+01,-0.353249209
1.94E+01,-0.368397644
1.95E+01,-0.37602324
1.95E+01,-0.381230227
1.96E+01,-0.383414872
1.96E+01,-0.383358333
1.96E+01,-0.375389355
1.96E+01,-0.360671909
1.97E+01,-0.355243467
1.97E+01,-0.340553935
1.98E+01,-0.322380205
1.98E+01,-0.300089677
1.98E+01,-0.276227102
1.98E+01,-0.249104688
1.99E+01,-0.219818211
1.99E+01,-0.189014037
2.00E+01,-0.157417555
2.00E+01,-0.124198401
2.00E+01,-0.089040268
2.00E+01,-0.05419023
2.01E+01,-0.01975161
2.01E+01,0.013303261
2.02E+01,0.045223221
2.02E+01,0.077546264
2.02E+01,0.108174332
